"time","Region","fitted"
1,"HSE Dublin and Midlands",1.30960139381103
1,"HSE Dublin and North East",-0.184588720847244
1,"HSE Dublin and South East",0.452533161675734
1,"HSE Mid West",4.41630857921799
1,"HSE South West",1.9991276363707
1,"HSE West and North West",3.12121450274693
2,"HSE Dublin and Midlands",4.58072334778691
2,"HSE Dublin and North East",3.85342573234321
2,"HSE Dublin and South East",4.0538786775878
2,"HSE Mid West",5.82538219521622
2,"HSE South West",4.87177015782544
2,"HSE West and North West",5.42462475406711
3,"HSE Dublin and Midlands",6.0903016948539
3,"HSE Dublin and North East",4.25207501226601
3,"HSE Dublin and South East",5.15005093956815
3,"HSE Mid West",7.21562941881264
3,"HSE South West",6.43356221900061
3,"HSE West and North West",9.05801931921825
4,"HSE Dublin and Midlands",5.3147276918795
4,"HSE Dublin and North East",3.24138187223663
4,"HSE Dublin and South East",4.24999514876876
4,"HSE Mid West",5.28284271143262
4,"HSE South West",5.10105394620636
4,"HSE West and North West",6.21714968175932
5,"HSE Dublin and Midlands",5.17039295720771
5,"HSE Dublin and North East",2.67173389256291
5,"HSE Dublin and South East",3.64153918648094
5,"HSE Mid West",5.83878437601979
5,"HSE South West",5.1086035889112
5,"HSE West and North West",7.47363736971685
6,"HSE Dublin and Midlands",4.48131862010809
6,"HSE Dublin and North East",2.39192647002408
6,"HSE Dublin and South East",3.70816201769453
6,"HSE Mid West",5.42517863264779
6,"HSE South West",5.66126881180402
6,"HSE West and North West",6.54258204784548
7,"HSE Dublin and Midlands",4.65047009556334
7,"HSE Dublin and North East",2.17907367238927
7,"HSE Dublin and South East",3.35899117533596
7,"HSE Mid West",6.35669638921172
7,"HSE South West",5.15417540592483
7,"HSE West and North West",6.28171147631791
8,"HSE Dublin and Midlands",5.13231618292594
8,"HSE Dublin and North East",2.17501530808131
8,"HSE Dublin and South East",4.03815822199166
8,"HSE Mid West",7.10006079534103
8,"HSE South West",4.24201918699754
8,"HSE West and North West",6.03607380897639
9,"HSE Dublin and Midlands",5.36341283459546
9,"HSE Dublin and North East",3.25642530771132
9,"HSE Dublin and South East",3.90969748954673
9,"HSE Mid West",7.67056643727383
9,"HSE South West",5.5598930116151
9,"HSE West and North West",7.38764723535908
10,"HSE Dublin and Midlands",5.69171983049042
10,"HSE Dublin and North East",3.21393239874606
10,"HSE Dublin and South East",3.51295458781329
10,"HSE Mid West",8.03659329971323
10,"HSE South West",5.49657222316294
10,"HSE West and North West",7.50416523351997
11,"HSE Dublin and Midlands",5.28413154285101
11,"HSE Dublin and North East",2.54873878578193
11,"HSE Dublin and South East",3.89962038543005
11,"HSE Mid West",7.90062268842718
11,"HSE South West",4.90754803687634
11,"HSE West and North West",6.48772915250036
12,"HSE Dublin and Midlands",6.56322041687542
12,"HSE Dublin and North East",2.25737746090245
12,"HSE Dublin and South East",3.9257791401167
12,"HSE Mid West",7.82547090285213
12,"HSE South West",6.41931151951157
12,"HSE West and North West",7.27274360272156
13,"HSE Dublin and Midlands",5.76415420310289
13,"HSE Dublin and North East",2.26416702853529
13,"HSE Dublin and South East",3.61853630924067
13,"HSE Mid West",7.79522317599866
13,"HSE South West",5.5745110894446
13,"HSE West and North West",7.9455945798074
14,"HSE Dublin and Midlands",6.10703394307942
14,"HSE Dublin and North East",2.60774331395236
14,"HSE Dublin and South East",4.02963595640724
14,"HSE Mid West",8.68559219895376
14,"HSE South West",5.66270042853223
14,"HSE West and North West",8.48938188312496
15,"HSE Dublin and Midlands",5.84764671038881
15,"HSE Dublin and North East",2.66816823708548
15,"HSE Dublin and South East",3.46961300578577
15,"HSE Mid West",8.44725667059243
15,"HSE South West",6.05637560142188
15,"HSE West and North West",8.00267170803525
16,"HSE Dublin and Midlands",4.4469356268885
16,"HSE Dublin and North East",2.20106149629093
16,"HSE Dublin and South East",2.2849473894468
16,"HSE Mid West",8.26883980812324
16,"HSE South West",5.23818513402396
16,"HSE West and North West",8.28874770481797
17,"HSE Dublin and Midlands",4.83733052409727
17,"HSE Dublin and North East",1.62062027576969
17,"HSE Dublin and South East",3.02439243960789
17,"HSE Mid West",7.60273373390807
17,"HSE South West",5.43335143143311
17,"HSE West and North West",7.76578616398732
18,"HSE Dublin and Midlands",5.12482234029854
18,"HSE Dublin and North East",1.92885442896073
18,"HSE Dublin and South East",3.68573801121489
18,"HSE Mid West",8.32589197981289
18,"HSE South West",5.6392062721101
18,"HSE West and North West",7.4971387763634
19,"HSE Dublin and Midlands",5.10018124461214
19,"HSE Dublin and North East",1.83087347460268
19,"HSE Dublin and South East",3.93675906600318
19,"HSE Mid West",8.51428714565624
19,"HSE South West",5.22818369023734
19,"HSE West and North West",6.98969256400287
20,"HSE Dublin and Midlands",5.69334760494518
20,"HSE Dublin and North East",2.34496488996048
20,"HSE Dublin and South East",4.27022376879736
20,"HSE Mid West",8.82487609055795
20,"HSE South West",5.1168243899475
20,"HSE West and North West",7.94472143538178
21,"HSE Dublin and Midlands",6.08354136952686
21,"HSE Dublin and North East",2.32857250550019
21,"HSE Dublin and South East",3.67518753744231
21,"HSE Mid West",7.92811573925737
21,"HSE South West",5.37539909987274
21,"HSE West and North West",7.963932446672
22,"HSE Dublin and Midlands",4.37675640960722
22,"HSE Dublin and North East",2.07600746859027
22,"HSE Dublin and South East",2.71087142842239
22,"HSE Mid West",7.79498214794446
22,"HSE South West",5.1755577422205
22,"HSE West and North West",7.21764834259872
23,"HSE Dublin and Midlands",4.21890388378375
23,"HSE Dublin and North East",2.32240268319284
23,"HSE Dublin and South East",2.98103644385819
23,"HSE Mid West",8.72279125490732
23,"HSE South West",4.59618592064287
23,"HSE West and North West",6.80327401334046
24,"HSE Dublin and Midlands",3.89579405217441
24,"HSE Dublin and North East",1.64203008966263
24,"HSE Dublin and South East",2.06406701163801
24,"HSE Mid West",8.05254746797517
24,"HSE South West",3.52417874006641
24,"HSE West and North West",5.93853152888857
25,"HSE Dublin and Midlands",3.24606063967586
25,"HSE Dublin and North East",0.867882604068476
25,"HSE Dublin and South East",2.17573124842481
25,"HSE Mid West",8.16203898187433
25,"HSE South West",2.79727699292148
25,"HSE West and North West",6.54583465777086
26,"HSE Dublin and Midlands",4.02088961830246
26,"HSE Dublin and North East",0.81656343131651
26,"HSE Dublin and South East",2.54434955042045
26,"HSE Mid West",7.8783387121297
26,"HSE South West",3.71552109840434
26,"HSE West and North West",6.7457016423099
27,"HSE Dublin and Midlands",4.08626244045769
27,"HSE Dublin and North East",1.1071871543324
27,"HSE Dublin and South East",2.17196561737483
27,"HSE Mid West",8.24972467250074
27,"HSE South West",3.64436550079188
27,"HSE West and North West",7.26127244699879
28,"HSE Dublin and Midlands",4.43181207031214
28,"HSE Dublin and North East",0.787304705499693
28,"HSE Dublin and South East",2.06989751752484
28,"HSE Mid West",9.13570500742704
28,"HSE South West",2.95023701643918
28,"HSE West and North West",5.89834114445807
29,"HSE Dublin and Midlands",4.38032945891432
29,"HSE Dublin and North East",0.695095321636917
29,"HSE Dublin and South East",2.55744584069233
29,"HSE Mid West",8.69082551150365
29,"HSE South West",2.58399360690381
29,"HSE West and North West",4.91948217857
30,"HSE Dublin and Midlands",4.07593527935688
30,"HSE Dublin and North East",1.05363143252667
30,"HSE Dublin and South East",2.31710781202272
30,"HSE Mid West",8.44833774800067
30,"HSE South West",3.51386684215996
30,"HSE West and North West",5.92383413977237
31,"HSE Dublin and Midlands",2.63743032471281
31,"HSE Dublin and North East",1.15519515347561
31,"HSE Dublin and South East",2.28683465719306
31,"HSE Mid West",8.3773002428475
31,"HSE South West",3.71569258748754
31,"HSE West and North West",5.9176312595261
32,"HSE Dublin and Midlands",2.80488703692426
32,"HSE Dublin and North East",1.0648894412088
32,"HSE Dublin and South East",2.85228751479363
32,"HSE Mid West",8.80654805587866
32,"HSE South West",4.18373238125276
32,"HSE West and North West",6.11722744219224
33,"HSE Dublin and Midlands",2.82759491774971
33,"HSE Dublin and North East",1.04370010948122
33,"HSE Dublin and South East",2.79559923065048
33,"HSE Mid West",7.98452478692885
33,"HSE South West",4.1150434700428
33,"HSE West and North West",6.59923682324697
34,"HSE Dublin and Midlands",2.88535326992661
34,"HSE Dublin and North East",1.90772722819052
34,"HSE Dublin and South East",2.57551873692296
34,"HSE Mid West",7.85120109750682
34,"HSE South West",2.94216978314727
34,"HSE West and North West",7.17658270487923
35,"HSE Dublin and Midlands",3.78742594129003
35,"HSE Dublin and North East",1.94209947319516
35,"HSE Dublin and South East",2.58421775990837
35,"HSE Mid West",7.39018994318814
35,"HSE South West",3.84018548187279
35,"HSE West and North West",6.42888833528226
36,"HSE Dublin and Midlands",3.41714971120866
36,"HSE Dublin and North East",1.78320729410441
36,"HSE Dublin and South East",2.6882098162963
