"param","Point est.","Upper C.I."
"alpha[1]",1.00001311075485,1.00009071480234
"alpha[2]",1.00001353398191,1.00002476223172
"alpha[3]",1.0000120814641,1.00003301926677
"alpha[4]",1.00003156173014,1.00012716543625
"alpha[5]",1.00000170835685,1.0000334997224
"alpha[6]",1.0000205163606,1.00006328549955
"beta[1]",1.0004291628125,1.00112726372005
"beta[2]",1.00013862508019,1.00044473335707
"beta[3]",1.00006691436679,1.00016971729253
"beta[4]",1.00087687314565,1.00271457373552
"beta[5]",1.00004321689106,1.00014599343869
"beta[6]",1.0007202496923,1.00213345062212
"delta_mid[1]",1.00005969055621,1.00019630598547
"delta_mid[2]",1.00004421984191,1.00018507954252
"delta_mid[3]",0.999988188749832,1.00002216624395
"delta_mid[4]",1.0000571079262,1.00021149399007
"delta_mid[5]",1.00010376462834,1.00030383647572
"delta_mid[6]",0.999989843991511,0.99999769338878
"delta_post[1]",1.00002008610968,1.0001301891801
"delta_post[2]",1.00002539089343,1.00009879637507
"delta_post[3]",1.00002445759571,1.00010231027086
"delta_post[4]",1.00000057039942,1.00006145682976
"delta_post[5]",1.00004598859805,1.0001932361577
"delta_post[6]",1.0000208336492,1.00007010901073
"delta_pre[1]",0.999982544918046,1.00000796966325
"delta_pre[2]",0.999993433376438,1.00003493405186
"delta_pre[3]",1.00000364560807,1.00005305518
"delta_pre[4]",1.00002393730028,1.00007673671425
"delta_pre[5]",1.00006320242003,1.0002434570213
"delta_pre[6]",1.00001410699889,1.00007537450111
"eta_beta",1.0004616101294,1.00115260521896
"eta_gamma",1.00154042931187,1.00471214554859
"gamma[1]",1.00276490881743,1.00848999382572
"gamma[2]",1.00032379021098,1.00088137267299
"gamma[3]",1.00019685772666,1.00046406036284
"gamma[4]",1.00287677768339,1.00869652921027
"gamma[5]",1.00075733850415,1.00220120468371
"gamma[6]",1.00218284455781,1.00675985482979
"mu_beta",1.00065710048115,1.0020731780963
"mu_gamma",1.00259985916516,1.00802717224791
"phi",1.00006211480145,1.00024670237097
"sigma_mid",1.0000597098929,1.00019269132094
"sigma_post",0.99999636535842,1.00003344888731
"sigma_pre",1.00002382086905,1.0001237806768
"tau[1]",1.00005784812314,1.00009761222274
"tau[2]",1.00000876199581,1.00005746540568
"tau[3]",1.0000457837587,1.00019211386687
"tau[4]",0.999992103873096,1.0000321081347
"tau[5]",1.00000165396024,1.00006359660794
"tau[6]",0.999999910147666,1.00003015718345
"tau_beta",1.00120615949952,1.00187098769843
"tau_gamma",1.00063177136047,1.00104809262675
