"param","Point est.","Upper C.I."
"alpha[1]",0.999981152551646,1.00000177537876
"alpha[2]",1.00008740166196,1.00031902232062
"alpha[3]",0.999999145913337,1.0000038614265
"alpha[4]",0.999991260023184,1.00000371583659
"alpha[5]",0.999996677643912,1.00003095886836
"alpha[6]",1.00004068963015,1.00010013661702
"beta[1]",1.00007024755786,1.00021284487445
"beta[2]",1.00000134596815,1.00002105911406
"beta[3]",0.999995188577557,1.0000354419483
"beta[4]",1.0000319883283,1.00012431851181
"beta[5]",1.0000265667634,1.00010573578362
"beta[6]",1.00004566000147,1.00018462898867
"delta_mid[1]",1.00017131282432,1.00058270951396
"delta_mid[2]",1.00005535214144,1.00020040907076
"delta_mid[3]",1.0001625525124,1.00055390146848
"delta_mid[4]",1.00002102126692,1.00010658267437
"delta_mid[5]",1.00002779537181,1.0001434506546
"delta_mid[6]",1.00018191140361,1.00058587618976
"delta_post[1]",1.00019560341602,1.00064160062892
"delta_post[2]",1.00000896062125,1.00008753246218
"delta_post[3]",1.00013857751383,1.00040315954493
"delta_post[4]",1.00009498934443,1.00034119140146
"delta_post[5]",1.00001061784826,1.00005263631034
"delta_post[6]",1.00028084760951,1.00087053254895
"delta_pre[1]",1.00005062579747,1.00017041522725
"delta_pre[2]",1.00003775901484,1.00009925216661
"delta_pre[3]",1.00004061674503,1.00017930022842
"delta_pre[4]",1.00002108649678,1.00011237628222
"delta_pre[5]",1.0001184708864,1.00040045495085
"delta_pre[6]",0.999995143553424,1.00002008587225
"gamma[1]",1.00006376496166,1.00022205645399
"gamma[2]",1.00004428384783,1.00009111885994
"gamma[3]",1.00000690488485,1.00003819823931
"gamma[4]",1.00002716061935,1.00009102581476
"gamma[5]",1.00006472905993,1.00016812193066
"gamma[6]",0.99997981266183,0.999998348229309
"mu_lambda",1.00004173706982,1.00009738388196
"phi",1.000044378965,1.00010482424064
"sigma_mid",1.00031170387779,1.00090080577291
"sigma_post",1.00016130615011,1.00056737263538
"sigma_pre",1.00024938441804,1.00073157114677
"tau[1]",1.00000964241364,1.00007772234731
"tau[2]",1.00025263458286,1.00078517588037
"tau[3]",1.00005510894519,1.00021256935277
"tau[4]",1.00001575317892,1.00003920898784
"tau[5]",1.00005284398336,1.00011885291704
"tau[6]",0.999999563627134,1.00003569186713
"tau_alpha",1.00012369034617,1.0003673756558
