"param","Point est.","Upper C.I."
"alpha[1]",1.00014906922178,1.00048490398055
"alpha[2]",1.00007459487968,1.00026995106102
"alpha[3]",1.00026077661923,1.00082876498535
"alpha[4]",1.00025606883212,1.00057356563588
"alpha[5]",1.00011791728836,1.00026890738422
"alpha[6]",1.00024613234323,1.00065147118828
"beta[1]",0.999994082711105,1.0000172638243
"beta[2]",1.00002346541705,1.00008935367198
"beta[3]",1.00000223841151,1.00003328342073
"beta[4]",1.00007830449445,1.00027059172134
"beta[5]",0.999996797741048,1.00002297303253
"beta[6]",1.00004549680804,1.00018541319531
"delta_mid[1]",1.00003530861567,1.00010506580581
"delta_mid[2]",0.999994117624542,1.0000062503847
"delta_mid[3]",1.00008681717003,1.00029875147923
"delta_mid[4]",1.00008200203872,1.00029759673785
"delta_mid[5]",1.00004232721232,1.00015298433855
"delta_mid[6]",1.00000277050493,1.00001486266544
"delta_post[1]",1.00000017489534,1.00003925809965
"delta_post[2]",1.00002768872353,1.00006026763624
"delta_post[3]",1.00003234103587,1.00013536894244
"delta_post[4]",1.00001014217104,1.00007132265801
"delta_post[5]",1.00003791957361,1.00013371236018
"delta_post[6]",0.999999927038946,1.00001859040806
"delta_pre[1]",0.999987215479486,0.999993741691612
"delta_pre[2]",0.999994096393283,1.00002440997534
"delta_pre[3]",1.00005548116736,1.00019924533739
"delta_pre[4]",1.00004600822855,1.00016178234844
"delta_pre[5]",1.000016606049,1.00010041840539
"delta_pre[6]",1.00000548531802,1.00001816624861
"gamma[1]",0.999987901582363,0.999996116469934
"gamma[2]",0.999994753661465,1.00001281794467
"gamma[3]",1.00007022668703,1.00023439721357
"gamma[4]",0.999995252896848,1.00002771599704
"gamma[5]",1.00003696862668,1.00015911471855
"gamma[6]",1.00001335009896,1.0000767208205
"mu_global",1.00016292944213,1.00023737245893
"mu_lambda[1]",1.00160516487832,1.00251745562932
"mu_lambda[2]",1.00180000274886,1.00390774129144
"mu_lambda[3]",1.00150123783133,1.00302089058649
"mu_lambda[4]",1.00200722458359,1.00441533847357
"mu_lambda[5]",1.00096673149705,1.00114672564234
"mu_lambda[6]",1.00105615771037,1.00160910825935
"phi",0.999991705548478,1.00002513652988
"sigma_mid",1.00027287824607,1.00084027761652
"sigma_post",1.0002311829699,1.00076633846404
"sigma_pre",1.00014025118298,1.00047857834952
"tau[1]",1.00003193196872,1.00010615181859
"tau[2]",1.0000687252436,1.00026002731761
"tau[3]",0.999996276988168,1.00001529418338
"tau[4]",1.00000637884397,1.00004713368444
"tau[5]",0.999999184647747,1.00004015313272
"tau[6]",1.00007516900409,1.00025820932641
"tau_alpha",1.00495244759914,1.0074025929604
"tau_mu",1.00577026781918,1.00848647074015
